Question_Sample,qwen2.5-72b-instruct_PAST,llama33-70b-instruct-PAST,llama4-maverick_PAST,llama4-scout_PAST,nova-premier_PAST,nova-pro_PAST,mistral-large-2_PAST,qwen3-turbo-latest_PAST,qwen3-4B_PAST,qwen2.5-max-latest_PAST,qwen3-4b-q6kl-gguf_PAST,qwen3-1.7B-bf16-gguf_PAST,qwen3-plus-latest_PAST,qwen3-4b-bf16-gguf
q101_s1,4,5,7,4,5,4,4,4,5,5,4,4,3,1
q101_s10,5,5,5,4,5,4,4,5,1,5,4,4,4,4
q101_s11,5,5,5,4,5,5,3,5,1,5,1,5,4,5
q101_s12,5,5,5,4,5,5,1,4,5,5,4,4,5,4
q101_s13,5,5,4,4,5,4,5,4,1,5,5,4,5,5
q101_s14,5,5,6,4,5,5,4,4,1,5,1,6,5,4
q101_s15,5,3,5,4,5,5,2,4,1,5,4,5,4,4
q101_s16,5,5,5,4,5,3,5,5,5,5,5,4,4,5
q101_s17,5,3,5,4,5,4,5,5,4,5,4,4,3,4
q101_s18,5,4,5,4,5,4,1,4,1,5,4,5,4,5
q101_s19,5,5,5,4,5,4,2,4,1,5,1,4,3,3
q101_s2,5,5,5,4,5,5,5,5,4,5,1,4,6,5
q101_s20,5,5,5,4,5,3,2,5,6,5,1,4,4,5
q101_s3,5,5,5,4,5,4,4,4,5,5,4,4,5,4
q101_s4,5,5,5,4,5,4,1,5,1,5,5,4,4,5
q101_s5,5,5,5,4,5,4,5,5,4,5,5,4,5,6
q101_s6,5,5,3,4,5,4,4,4,4,5,5,4,4,4
q101_s7,5,5,5,4,5,5,4,5,5,5,1,4,4,5
q101_s8,5,5,5,4,5,5,2,3,4,5,4,4,4,1
q101_s9,5,5,5,4,5,5,5,4,7,5,4,4,4,1
q102_s1,1,1,1,1,2,2,1,1,1,1,1,2,1,1
q102_s10,1,1,1,1,2,2,1,1,1,1,1,2,1,1
q102_s11,1,1,1,1,2,2,1,1,1,1,1,1,1,1
q102_s12,1,1,1,1,6,2,1,1,1,1,1,1,1,1
q102_s13,1,1,1,1,2,2,1,1,1,1,1,1,1,1
q102_s14,1,1,1,1,2,2,1,1,1,1,1,1,1,1
q102_s15,1,1,1,1,6,2,1,1,1,1,1,1,1,1
q102_s16,1,1,1,1,2,2,1,1,1,1,1,2,1,1
q102_s17,1,1,1,1,2,2,1,1,1,1,1,2,1,1
q102_s18,1,1,1,1,2,2,1,1,1,1,1,1,1,1
q102_s19,1,1,1,1,2,1,2,1,1,1,1,2,1,1
q102_s2,1,1,1,1,2,2,1,1,1,1,1,1,1,1
q102_s20,1,1,1,1,2,2,2,1,1,1,1,1,1,1
q102_s3,1,1,1,1,3,2,1,1,1,1,1,2,1,1
q102_s4,1,1,1,1,6,2,1,1,1,1,1,1,1,1
q102_s5,1,1,1,1,2,2,1,1,1,1,1,2,1,1
q102_s6,1,1,1,1,2,1,1,1,1,1,1,1,1,1
q102_s7,1,1,1,1,2,2,1,1,1,1,1,2,1,1
q102_s8,1,1,1,1,2,1,1,1,1,1,1,2,1,1
q102_s9,1,1,1,1,2,2,1,1,1,1,1,2,1,1
q103_s1,1,1,1,1,6,1,2,1,1,1,1,2,1,1
q103_s10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
q103_s11,1,1,1,1,0,1,2,1,1,1,1,1,1,1
q103_s12,1,1,1,1,2,1,1,1,1,1,1,1,1,1
q103_s13,1,1,1,1,2,1,2,1,1,1,1,1,1,1
q103_s14,1,1,1,1,2,1,1,1,1,1,1,1,1,1
q103_s15,1,1,1,1,2,1,1,1,1,1,1,1,1,1
q103_s16,1,1,1,1,2,1,2,1,1,1,1,1,1,1
q103_s17,1,1,1,1,2,1,1,1,1,1,1,1,1,1
q103_s18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
q103_s19,1,1,1,1,2,2,1,1,1,1,1,1,1,1
q103_s2,1,1,1,1,2,1,1,1,1,1,1,1,1,1
q103_s20,1,1,1,1,2,1,2,1,1,1,1,2,1,1
q103_s3,1,1,1,1,2,1,1,1,1,1,1,1,1,1
q103_s4,1,1,1,1,2,1,1,1,1,1,1,1,1,1
q103_s5,1,1,1,1,1,2,1,1,1,1,1,1,1,1
q103_s6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
q103_s7,1,1,1,1,2,1,2,0,1,1,1,1,1,1
q103_s8,1,1,1,1,0,1,1,1,1,1,1,1,1,1
q103_s9,1,1,1,1,2,2,1,1,1,1,1,1,1,1
q104_s1,7,7,8,6,7,4,2,6,1,6,7,7,12,6
q104_s10,7,7,9,6,7,4,2,7,1,7,1,6,8,7
q104_s11,7,7,9,8,6,7,2,7,7,7,7,7,3,1
q104_s12,7,7,7,6,0,1,1,7,6,7,1,1,8,7
q104_s13,7,7,12,7,7,7,1,9,5,6,7,5,8,7
q104_s14,7,7,8,7,6,0,7,9,6,7,7,1,6,7
q104_s15,7,6,14,7,2,7,2,7,7,7,1,7,7,1
q104_s16,7,7,8,7,3,7,2,10,6,7,7,5,8,7
q104_s17,7,7,8,6,7,5,7,6,6,6,7,6,7,7
q104_s18,7,7,8,7,3,6,7,10,7,6,6,6,8,1
q104_s19,7,7,9,6,6,0,7,7,5,6,1,6,8,1
q104_s2,7,7,9,6,7,4,1,7,20,7,7,6,8,8
q104_s20,7,7,8,7,6,7,2,7,7,7,7,1,6,6
q104_s3,7,7,7,7,7,6,2,6,7,6,1,1,7,7
q104_s4,7,7,8,7,7,2,2,6,8,6,7,6,6,7
q104_s5,7,7,6,7,7,5,6,7,8,7,7,6,8,7
q104_s6,7,7,12,6,7,7,2,7,7,3,7,7,7,7
q104_s7,7,7,12,7,6,7,7,7,6,7,7,1,7,6
q104_s8,7,8,8,7,7,0,2,11,8,7,7,6,6,7
q104_s9,7,7,8,6,6,4,7,7,9,7,7,7,7,7
q201_s1,2,2,2,2,2,2,3,2,2,2,2,2,2,2
q201_s10,2,2,2,2,2,2,3,2,2,2,2,2,2,2
q201_s11,2,2,2,2,2,2,3,2,2,2,2,2,2,2
q201_s12,2,2,2,2,0,0,3,2,1,2,2,2,2,2
q201_s13,2,2,2,2,2,2,3,2,2,2,2,2,2,2
